"id";"name";"genitive";"locativus";"level";"parent";"children";"neighbours";"RSPOstateId";"RSPOdistrictId"
"061000";"Powiat łęczyński";"powiatu łęczyńskiego";"powiecie łęczyńskim";"p";"060000";;"060800,060900,061300,061900,061700,060300";3;62
"061100";"Powiat łukowski";"powiatu łukowskiego";"powiecie łukowskim";"p";"060000";;"061500,060800,061600,142600,140300,060100";3;63
"061200";"Powiat opolski";"powiatu opolskiego";"powiecie opolskim";"p";"060000";;"061400,060700,140900,060900,260600,143600";3;64
"061300";"Powiat parczewski";"powiatu parczewskiego";"powiecie parczewskim";"p";"060000";;"061500,060800,061000,061900,060100";3;65
"061400";"Powiat puławski";"powiatu puławskiego";"powiecie puławskim";"p";"060000";;"140700,060800,060900,061200,143600,061600";3;66
"061500";"Powiat radzyński";"powiatu radzyńskiego";"powiecie radzyńskim";"p";"060000";;"060800,061100,061300,060100";3;67
"061600";"Powiat rycki";"powiatu ryckiego";"powiecie ryckim";"p";"060000";;"061400,140700,060800,061100,140300";3;68
"061700";"Powiat świdnicki";"powiatu świdnickiego";"powiecie świdnickim";"p";"060000";;"060600,060900,066300,061000,060300";3;69
"061800";"Powiat tomaszowski";"powiatu tomaszowskiego";"powiecie tomaszowskim";"p";"060000";;"180900,062000,060400,060200";3;70
"061900";"Powiat włodawski";"powiatu włodawskiego";"powiecie włodawskim";"p";"060000";;"061000,061300,060100,060300";3;71
"062000";"Powiat zamojski";"powiatu zamojskiego";"powiecie zamojskim";"p";"060000";;"060600,066400,061800,060400,060200,060300";3;72
"066100";"Biała Podlaska";"Białej Podlaskiej";"Białej Podlaskiej";"p";"060000";;"060100";3;73
"066200";"Chełm";"Chełma";"Chełmie";"p";"060000";;"060300";3;74
"066300";"Lublin";"Lublina";"Lublinie";"p";"060000";;"060900,061700";3;75
"066400";"Zamość";"Zamościa";"Zamościu";"p";"060000";;"062000";3;76
"080000";"Województwo lubuskie";"województwa lubuskiego";"województwie lubuskim";"w";"000000";"080100,080200,080300,080400,080500,080600,080700,080800,080900,081000,081100,081200,086100,086200";"320000,020000,300000";4;
"080100";"Powiat gorzowski";"powiatu gorzowskiego";"powiecie gorzowskim";"p";"080000";;"080300,321000,080500,080600,080700,086100";4;77
"080200";"Powiat krośnieński";"powiatu krośnieńskiego";"powiecie krośnieńskim";"p";"080000";;"080900,081100,080500,080700,080800";4;78
"080300";"Powiat międzyrzecki";"powiatu międzyrzeckiego";"powiecie międzyrzeckim";"p";"080000";;"301400,301500,080600,080700,080800,080100";4;79
"080400";"Powiat nowosolski";"powiatu nowosolskiego";"powiecie nowosolskim";"p";"080000";;"302900,081200,086200,080900,081000,020300";4;80
